Id,Référence,Empreinte,Quantité,Désignation,Fournisseur et réf
1,"R26,R7,R27,R8",R_0402_1005Metric,4,100,
2,"C43,C51",C_0805_2012Metric,2,10uF,
3,"C19,C7,C1,C52,C33,C22,C42,C23,C29,C20,C9",C_0402_1005Metric,11,0.1uF,
4,U8,TSSOP-16_4.4x5mm_P0.65mm,1,INA260,
5,D1,SMA_L4.3-W2.6-LS5.2-RD,1,SS310,
6,R13,R_0402_1005Metric,1,1.33k,
7,C41,C_0805_2012Metric,1,1.5nF,
8,"C3,C25,C50,C4,C12,C15,C16,C49,C18,C35,C10,C11,C14,C44,C6,C2,C5,C17,C8,C27,C24",C_0402_1005Metric,21,1uF,
9,C38,C_0805_2012Metric,1,1uF,
10,C45,C_0805_2012Metric,1,470pF,
11,Y1,SC32S-7PF20PPM,1,32.768kHz,
12,U5,SOT-23-5,1,MCP1824T-1802E,
13,"R6,R36,R20,R4,R24,R9",R_0402_1005Metric,6,10k,
14,U6,SOT-23-5,1,MCP1824T-0802E,
15,U7,TSSOP-8_3x3mm_P0.65mm,1,EMC2101,
16,"R29,R28",R_0402_1005Metric,2,261,
17,"C30,C31",C_0402_1005Metric,2,6.8pF,
18,",",,2,,
19,U2,TXB0104,1,TXB0104RGYR,
20,R10,R_0402_1005Metric,1,3.83k,
21,L1,FP1005R1-R15-R,1,150nH,
22,R15,R_0402_1005Metric,1,3.32k,
23,R16,R_0402_1005Metric,1,80k,
24,C32,C_0402_1005Metric,1,470pF,
25,"R3,R2,R5",R_0402_1005Metric,3,0,
26,C40,C_0805_2012Metric,1,180pF,
27,U10,TSSOP-8_3x3mm_P0.65mm,1,DS4432U+,
28,C39,C_0402_1005Metric,1,3.3nF,
29,R14,R_0402_1005Metric,1,4.99k,
30,R11,R_0402_1005Metric,1,100k,
31,C13,CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder,1,330uF,
32,"Q2,Q1",CSD17311Q5,2,CSD17311Q5,
33,U9,TPS40305,1,TPS40305,
34,C46,CAP_2R5TPE220MAFB,1,220uF,
35,R25,R_0402_1005Metric,1,19.1k,
36,R17,R_0402_1005Metric,1,DNP,
37,"C34,C36,C37",C_1210_3225Metric,3,47uF,
38,U1,"O 25,0-JO32-B-1V3-1-T1-LF",1,25MHz,
39,R12,R_0402_1005Metric,1,4.12k,
40,"R22,R21",R_0402_1005Metric,2,"60,4",
41,C47,C_1206_3216Metric,1,100uF,
42,U11,RT9080-33GJ5,1,RT9080-33GJ5,
43,"SW1,SW2",SW_CS1213AGF260_CRS,2,GT-TC029B-H025-L1N,
44,J4,470531000,1,Conn_01x04,
45,"J2,J1",63862-1,2,Conn_01x01,
46,J7,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
47,J3,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
48,U12,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
49,IC1,BM1397,1,BM1397_mode1,
50,"U13,U4",CLX6E-FKC-CH1M1D1BB7C3D3,2,CLX6E-FKC,
51,C28,CP_Elec_6.3x7.7,1,220uF,
52,J11,2002112100006C1LF,1,20021121-00006C1LF,
53,USB1,USB_10118193-0001LF_AMP,1,10118193-0001LF,
