Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C28,220uF,CP_Elec_6.3x7.7,103.490000,-141.420000,-90.000000,bottom
IC1,BM1397_mode1,BM1397,105.690000,-116.480000,180.000000,bottom
J1,Conn_01x01,63862-1,82.650000,-70.810000,180.000000,bottom
J2,Conn_01x01,63862-1,82.650000,-63.390000,180.000000,bottom
J3,Conn_01x05,PinHeader_1x05_P2.54mm_Vertical,109.350000,-143.580000,-90.000000,bottom
J4,Conn_01x04,470531000,89.621000,-143.622000,0.000000,bottom
J6,Conn_01x08,PinHeader_1x08_P2.54mm_Vertical,101.626000,-49.799000,-90.000000,bottom
J7,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,83.000000,-76.540000,-90.000000,bottom
J9,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,84.859000,-50.049000,180.000000,bottom
J11,20021121-00006C1LF,2002112100006C1LF,128.270000,-89.490000,180.000000,bottom
SW1,GT-TC029B-H025-L1N,SW_CS1213AGF260_CRS,129.921000,-116.840000,180.000000,bottom
SW2,GT-TC029B-H025-L1N,SW_CS1213AGF260_CRS,129.921000,-124.460000,180.000000,bottom
U4,CLX6E-FKC,CLX6E-FKC-CH1M1D1BB7C3D3,100.302294,-55.210000,180.000000,bottom
U12,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,123.610000,-72.960000,90.000000,bottom
U13,CLX6E-FKC,CLX6E-FKC-CH1M1D1BB7C3D3,111.136147,-55.180000,180.000000,bottom
USB1,10118193-0001LF,USB_10118193-0001LF_AMP,131.720698,-102.359998,-90.000000,bottom
,,,81.280000,-58.420000,0.000000,top
,,,81.280000,-55.880000,0.000000,top
C1,0.1uF,C_0402_1005Metric,115.250000,-127.810000,180.000000,top
C2,1uF,C_0402_1005Metric,114.440000,-109.650000,0.000000,top
C3,1uF,C_0402_1005Metric,114.440000,-107.790000,180.000000,top
C4,1uF,C_0402_1005Metric,110.660000,-121.320000,90.000000,top
C5,1uF,C_0402_1005Metric,112.160000,-121.320000,90.000000,top
C6,1uF,C_0402_1005Metric,113.140000,-106.030000,180.000000,top
C7,0.1uF,C_0402_1005Metric,99.820000,-114.630000,-90.000000,top
C8,1uF,C_0402_1005Metric,111.810000,-104.240000,180.000000,top
C9,0.1uF,C_0402_1005Metric,111.870000,-114.710000,-90.000000,top
C10,1uF,C_0402_1005Metric,110.280000,-114.650000,-90.000000,top
C11,1uF,C_0402_1005Metric,101.370000,-114.620000,-90.000000,top
C12,1uF,C_0402_1005Metric,99.300000,-104.240000,180.000000,top
C13,330uF,CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder,105.600000,-114.560000,-90.000000,top
C14,1uF,C_0402_1005Metric,99.190000,-121.320000,90.000000,top
C15,1uF,C_0402_1005Metric,98.010000,-106.040000,180.000000,top
C16,1uF,C_0402_1005Metric,100.710000,-121.320000,90.000000,top
C17,1uF,C_0402_1005Metric,96.730000,-107.780000,180.000000,top
C18,1uF,C_0402_1005Metric,96.730000,-109.680000,0.000000,top
C19,0.1uF,C_0402_1005Metric,116.380000,-102.703600,180.000000,top
C20,0.1uF,C_0402_1005Metric,114.010000,-96.873600,180.000000,top
C22,0.1uF,C_0402_1005Metric,90.600000,-131.850000,0.000000,top
C23,0.1uF,C_0402_1005Metric,102.210000,-132.610000,0.000000,top
